====================================================================================================
PROBLEM DETAILS:
====================================================================================================
PREDICATES:
Triangle(A,B,C)
Point(A)
Point(B)
Point(C)
Line(A,B)
Line(B,C)
Line(A,C)
Angle(A,B,C)
RightAngle(Angle(A,C,B))
Right(Triangle(A,B,C))
Equals(LengthOf(Line(B,C)), 15)
Equals(MeasureOf(Angle(A,B,C)), 70)
Perpendicular(Line(A,C), Line(B,C))
IsHypotenuseOf(Line(A,B), Triangle(A,B,C))
IsSideOf(Line(A,C), Triangle(A,B,C))
IsSideOf(Line(B,C), Triangle(A,B,C))
IsSideOf(Line(A,B), Triangle(A,B,C))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(A,B))))
