Parallelogram(A,B,C,D)
Point(A)
Point(B)
Point(C)
Point(D)
Line(A,B)
Line(B,C)
Line(C,D)
Line(D,A)
Angle(D,A,B)
Equals(LengthOf(Line(B,C)), 18)
Equals(LengthOf(Line(C,D)), 12)
Equals(MeasureOf(Angle(D,A,B)), 115)
Parallel(Line(A,B), Line(C,D))
Parallel(Line(A,D), Line(B,C))
Equals(LengthOf(Line(A,B)), LengthOf(Line(C,D)))
Equals(LengthOf(Line(A,D)), LengthOf(Line(B,C)))
Equals(MeasureOf(Angle(D,A,B)), MeasureOf(Angle(B,C,D)))
Equals(Add(MeasureOf(Angle(D,A,B)), MeasureOf(Angle(A,D,C))), 180)
IsSideOf(Line(A,B), Parallelogram(A,B,C,D))
IsSideOf(Line(B,C), Parallelogram(A,B,C,D))
IsSideOf(Line(C,D), Parallelogram(A,B,C,D))
IsSideOf(Line(D,A), Parallelogram(A,B,C,D))
