Triangle(A,B,C)
Point(A)
Point(B)
Point(C)
Line(A,B)
Line(B,C)
Line(A,C)
Angle(A,B,C)
RightAngle(Angle(B,A,C))
Right(Triangle(A,B,C))
Equals(LengthOf(Line(A,C)), 6)
Equals(MeasureOf(Angle(A,B,C)), 30)
IsHypotenuseOf(Line(B,C), Triangle(A,B,C))
IsSideOf(Line(A,B), Triangle(A,B,C))
IsSideOf(Line(B,C), Triangle(A,B,C))
IsSideOf(Line(A,C), Triangle(A,B,C))
Perpendicular(Line(A,B), Line(A,C))
Equals(SinOf(MeasureOf(Angle(A,B,C))), Div(LengthOf(Line(A,C)), LengthOf(Line(B,C))))
Equals(LengthOf(Line(A,B)), Var)
Equals(LengthOf(Line(B,C)), y)
Equals(Div(LengthOf(Line(A,C)), LengthOf(Line(B,C))),SinOf(30))
Equals(LengthOf(Line(A,B)), x)
