Equals(MeasureOf(Arc(J, E)), 15)
Equals(MeasureOf(Arc(F, C)), 95)
PointLiesOnLine(D, Line(C, B))
PointLiesOnLine(E, Line(D, A))
PointLiesOnLine(H, Line(D, A))
PointLiesOnLine(H, Line(D, E))
PointLiesOnLine(G, Line(B, F))
PointLiesOnLine(H, Line(B, F))
PointLiesOnLine(G, Line(B, H))
PointLiesOnLine(J, Line(A, G))
PointLiesOnLine(E, Line(A, H))
PointLiesOnLine(H, Line(G, F))
PointLiesOnCircle(C, Circle(I, radius_8_0))
PointLiesOnCircle(D, Circle(I, radius_8_0))
PointLiesOnCircle(E, Circle(I, radius_8_0))
PointLiesOnCircle(F, Circle(I, radius_8_0))
PointLiesOnCircle(G, Circle(I, radius_8_0))
PointLiesOnCircle(J, Circle(I, radius_8_0))
