Equals(LengthOf(Line(M, H)), d)
PointLiesOnLine(N, Line(A, I))
PointLiesOnLine(I, Line(A, C))
PointLiesOnLine(N, Line(A, C))
PointLiesOnLine(F, Line(E, I))
PointLiesOnLine(A, Line(E, M))
PointLiesOnLine(K, Line(B, C))
PointLiesOnLine(D, Line(C, H))
PointLiesOnLine(I, Line(C, N))
PointLiesOnLine(K, Line(N, J))
PointLiesOnLine(L, Line(D, G))
PointLiesOnLine(H, Line(D, G))
PointLiesOnLine(H, Line(D, L))
PointLiesOnLine(L, Line(G, H))
PointLiesOnLine(N, Line(F, K))
PointLiesOnLine(K, Line(F, J))
PointLiesOnLine(N, Line(F, J))
PointLiesOnCircle(A, Circle(I, radius_6_0))
PointLiesOnCircle(D, Circle(I, radius_6_0))
PointLiesOnCircle(F, Circle(I, radius_6_0))
PointLiesOnCircle(B, Circle(I, radius_6_0))
PointLiesOnCircle(C, Circle(I, radius_6_0))
PointLiesOnCircle(J, Circle(I, radius_6_0))
PointLiesOnCircle(L, Circle(I, radius_6_0))
PointLiesOnCircle(M, Circle(I, radius_6_0))
PointLiesOnCircle(H, Circle(I, radius_6_0))
