Equals(MeasureOf(Arc(J, D)), 85)
Equals(MeasureOf(Arc(H, F)), 230)
Equals(MeasureOf(Angle(F, C, D)), MeasureOf(Angle(2)))
PointLiesOnLine(C, Line(A, D))
PointLiesOnLine(C, Line(A, E))
PointLiesOnLine(C, Line(F, D))
PointLiesOnLine(C, Line(F, E))
PointLiesOnLine(C, Line(I, H))
PointLiesOnLine(C, Line(I, B))
PointLiesOnLine(C, Line(J, B))
PointLiesOnLine(C, Line(J, H))
PointLiesOnLine(F, Line(A, C))
PointLiesOnLine(F, Line(A, D))
PointLiesOnLine(F, Line(A, E))
PointLiesOnLine(D, Line(A, E))
PointLiesOnLine(D, Line(C, E))
PointLiesOnLine(D, Line(F, E))
PointLiesOnLine(H, Line(B, C))
PointLiesOnLine(H, Line(B, J))
PointLiesOnLine(H, Line(B, I))
PointLiesOnLine(J, Line(I, C))
PointLiesOnLine(J, Line(I, H))
PointLiesOnLine(J, Line(I, B))
PointLiesOnCircle(D, Circle(G, radius_6_0))
PointLiesOnCircle(F, Circle(G, radius_6_0))
PointLiesOnCircle(H, Circle(G, radius_6_0))
PointLiesOnCircle(J, Circle(G, radius_6_0))
