Equals(MeasureOf(Angle(F, B, E)), MeasureOf(angle 2))
Equals(MeasureOf(Angle(A, G, B)), 120)
Equals(MeasureOf(Angle(B, D, C)), 50)
Equals(MeasureOf(Angle(H, E, A)), MeasureOf(angle 5))
Equals(MeasureOf(Angle(H, G, A)), MeasureOf(angle 4))
Equals(MeasureOf(Angle(D, C, F)), 78)
Equals(MeasureOf(Angle(G, F, B)), MeasureOf(angle 3))
Equals(MeasureOf(Angle(G, B, C)), MeasureOf(angle 1))
Equals(MeasureOf(Angle(F, A, E)), 56)
PointLiesOnLine(G, Line(A, F))
PointLiesOnLine(G, Line(E, B))
PointLiesOnLine(B, Line(E, D))
PointLiesOnLine(G, Line(E, D))
PointLiesOnLine(B, Line(F, C))
PointLiesOnLine(B, Line(G, D))
PointLiesOnLine(E, Line(G, H))
PointLiesOnLine(E, Line(B, H))
PointLiesOnLine(G, Line(B, H))
PointLiesOnLine(B, Line(D, H))
PointLiesOnLine(E, Line(D, H))
PointLiesOnLine(G, Line(D, H))
