Equals(MeasureOf(Angle(K, B, F)), 88)
Equals(MeasureOf(Angle(J, B, G)), 26)
PointLiesOnLine(F, Line(A, G))
PointLiesOnLine(G, Line(A, H))
PointLiesOnLine(F, Line(A, H))
PointLiesOnLine(J, Line(H, K))
PointLiesOnLine(K, Line(H, C))
PointLiesOnLine(J, Line(H, C))
PointLiesOnLine(G, Line(H, F))
PointLiesOnLine(K, Line(J, C))
PointLiesOnCircle(G, Circle(B, radius_4_0))
PointLiesOnCircle(K, Circle(B, radius_4_0))
PointLiesOnCircle(F, Circle(B, radius_4_0))
PointLiesOnCircle(J, Circle(B, radius_4_0))
