Circle(M)
Point(F)
Point(G)
Point(H)
Point(J)
Point(K)
Point(L)
Point(N)
Point(P)
Line(F,L)
Line(H,J)
Line(H,P)
Line(P,J)
Line(M,L)
Line(M,N)
RightAngle(Angle(M,L,F))
RightAngle(Angle(M,N,P))
Equals(LengthOf(Line(F,L)), 24)
Equals(LengthOf(Line(H,J)), 48)
PointLiesOnCircle(Point(F), Circle(M))
PointLiesOnCircle(Point(G), Circle(M))
PointLiesOnCircle(Point(H), Circle(M))
PointLiesOnCircle(Point(J), Circle(M))
PointLiesOnCircle(Point(K), Circle(M))
PointLiesOnCircle(Point(L), Circle(M))
PointLiesOnCircle(Point(N), Circle(M))
PointLiesOnCircle(Point(P), Circle(M))
IsCenterOf(Point(M), Circle(M))
IsChordOf(Line(F,L), Circle(M))
IsChordOf(Line(H,J), Circle(M))
IsChordOf(Line(H,P), Circle(M))
IsChordOf(Line(P,J), Circle(M))
IsRadiusOf(Line(M,L), Circle(M))
IsRadiusOf(Line(M,N), Circle(M))
IsMidpointOf(Point(L), Line(F,L))
IsMidpointOf(Point(N), Line(P,J))
