Point(G)
Point(H)
Point(I)
Point(J)
Point(K)
Line(G,H)
Line(G,K)
Line(K,J)
Line(H,I)
Line(J,I)
Triangle(G,K,H)
Triangle(J,K,H)
RightAngle(Angle(G,K,H))
RightAngle(Angle(K,J,H))
Parallel(Line(K,J), Line(H,I))
Parallel(Line(J,I), Line(K,H))
Equals(LengthOf(Line(G,H)), 9)
Equals(LengthOf(Line(G,K)), 6)
Equals(LengthOf(Line(K,J)), 4)
Equals(LengthOf(Line(H,I)), LengthOf(Line(K,J)))
Equals(LengthOf(Line(J,I)), LengthOf(Line(K,H)))
IsSideOf(Line(G,H), Triangle(G,K,H))
IsSideOf(Line(G,K), Triangle(G,K,H))
IsSideOf(Line(K,H), Triangle(G,K,H))
IsSideOf(Line(K,J), Triangle(J,K,H))
IsSideOf(Line(J,H), Triangle(J,K,H))
IsSideOf(Line(K,H), Triangle(J,K,H))
IsHypotenuseOf(Line(G,H), Triangle(G,K,H))
IsHypotenuseOf(Line(J,H), Triangle(J,K,H))
Equals(LengthOf(Line(K,H)), Sqrt(Sub(SquareOf(LengthOf(Line(G,H))), SquareOf(LengthOf(Line(G,K)))))
