Point(A)
Point(B)
Point(C)
Point(D)
Point(E)
Point(F)
Point(G)
Point(H)
Point(I)
Point(J)
Point(K)
Point(L)
Point(M)
Point(N)
Point(O)
Point(P)
Point(Q)
Point(R)
Point(S)
Point(T)
Point(U)
Point(V)
Point(W)
Point(X)
Point(Y)
Point(Z)
Line(A,B)
Line(A,C)
Line(A,D)
Line(B,C)
Line(B,D)
Line(C,D)
Line(E,F)
Line(E,G)
Line(E,H)
Line(F,G)
Line(F,H)
Line(G,H)
Line(I,J)
Line(I,K)
Line(I,L)
Line(J,K)
Line(J,L)
Line(K,L)
Line(M,N)
Line(M,O)
Line(M,P)
Line(N,O)
Line(N,P)
Line(O,P)
Line(Q,R)
Line(Q,S)
Line(Q,T)
Line(R,S)
Line(R,T)
Line(S,T)
Angle(A,B,C)
Angle(A,C,D)
Angle(A,D,C)
Angle(B,C,D)
Angle(B,D,C)
Angle(E,F,G)
Angle(E,G,H)
Angle(E,H,F)
Angle(F,G,H)
Angle(I,J,K)
Angle(I,K,L)
Angle(I,L,J)
Angle(J,K,L)
Angle(M,N,O)
Angle(M,O,P)
Angle(M,P,N)
Angle(N,O,P)
Angle(N,P,O)
Angle(Q,R,S)
Angle(Q,S,T)
Angle(Q,T,R)
Angle(R,S,T)
Angle(S,T,R)
RightAngle(Angle(A,B,C)
RightAngle(Angle(A,C,D)
RightAngle(Angle(A,D,C)
RightAngle(Angle(B,C,D)
RightAngle(Angle(B,D,C)
RightAngle(Angle(E,F,G)
RightAngle(Angle(E,G,H)
RightAngle(Angle(E,H,F)
RightAngle(Angle(F,G,H)
RightAngle(Angle(I,J,K)
RightAngle(Angle(I,K,L)
RightAngle(Angle(I,L,J)
RightAngle(Angle(J,K,L)
RightAngle(Angle(M,N,O)
RightAngle(Angle(M,O,P)
RightAngle(Angle(M,P,N)
RightAngle(Angle(N,O,P)
RightAngle(Angle(N,P,O)
RightAngle(Angle(Q,R,S)
RightAngle(Angle(Q,S,T)
RightAngle(Angle(Q,T,R)
RightAngle(Angle(R,S,T)
RightAngle(Angle(S,T,R)
MeasureOf(Angle(A,B,C)
MeasureOf(Angle(A,C,D)
MeasureOf(Angle(A,D,C)
MeasureOf(Angle(B,C,D)
MeasureOf(Angle(B,D,C)
MeasureOf(Angle(E,F,G)
MeasureOf(Angle(E,G,H)
MeasureOf(Angle(E,H,F)
MeasureOf(Angle(F,G,H)
MeasureOf(Angle(I,J,K)
MeasureOf(Angle(I,K,L)
MeasureOf(Angle(I,L,J)
MeasureOf(Angle(J,K,L)
MeasureOf(Angle(M,N,O)
MeasureOf(Angle(M,O,P)
MeasureOf(Angle(M,P,N)
MeasureOf(Angle(N,O,P)
MeasureOf(Angle(N,P,O)
MeasureOf(Angle(Q,R,S)
MeasureOf(Angle(Q,S,T)
MeasureOf(Angle(Q,T,R)
MeasureOf(Angle(R,S,T)
MeasureOf(Angle(S,T,R)
SumOf(MeasureOf(Angle(A,B,C)
